term,definition,link
pytest,"pytest is a Python testing framework that lets you write tests as plain functions using Python's built-in assert keyword, instead of subclassing a test-case class — it also finds and runs those tests automatically, with almost no setup.",https://docs.pytest.org/
unittest,"unittest is Python's built-in testing framework, and the one pytest is most often compared against. It requires writing tests as methods inside a class that subclasses TestCase, and checking results with methods like self.assertEqual() instead of plain assert.",https://docs.python.org/3/library/unittest.html
assert,"assert is a plain Python keyword, not something special to pytest, that a test uses to check a condition: if the expression after it is False the test fails right there, and if it's True nothing happens and the test just continues.",
test discovery,"Test discovery is how pytest finds your tests automatically, just by following naming conventions — files named test_*.py or *_test.py, functions named test_*, classes named Test* — with no manual registration or import list required.",
fixture,"A fixture is a reusable setup function, marked with the @pytest.fixture decorator, that a test can pull in simply by naming it as one of the test function's own parameters — pytest matches that name and hands over whatever the fixture returns.",
assertion rewriting,"Assertion rewriting is pytest's trick of quietly rewriting your plain assert statements so that, when one fails, the error message shows the actual values involved (like 'assert 3 == 4') instead of just a bare, unhelpful 'AssertionError'.",
decorator,"A decorator is a Python feature written as @something placed directly above a function definition, which wraps or registers that function with extra behavior. @pytest.fixture is one example: it tells pytest to treat the function below it as a fixture rather than a regular helper.",
pip,pip is Python's package installer — the command-line tool you run (as in pip install pytest) to download and add a library like pytest to your Python environment.,
fixture scope,"A fixture's scope is the setting (`scope=`) that decides how often pytest rebuilds it — 'function' (the default) rebuilds it fresh for every single test, while 'class', 'module', and 'session' share one instance across a whole class, file, or entire test run respectively.",
session scope,"Session scope means a fixture is built exactly once for the entire pytest run and reused by every test that asks for it — fast, but tests share whatever state that one instance holds.",
module scope,"Module scope means a fixture is built once per test file and shared by every test in that file, resetting only when pytest moves on to the next file.",
class scope,"Class scope means a fixture is built once per test class and shared by every test method inside it, resetting when pytest moves to a different class.",
conftest.py,"conftest.py is a specially-named file pytest automatically loads — any fixture defined inside it becomes available to every test in that same folder (and its subfolders), with no import statement required.",
tmp_path,"tmp_path is a built-in pytest fixture that hands each test a fresh, empty temporary directory (as a pathlib.Path) to read and write files in, so tests never touch or pollute your real project files.",
capsys,"capsys is a built-in pytest fixture that captures whatever a test prints to stdout and stderr, so you can assert on printed output via capsys.readouterr() instead of only checking return values.",
monkeypatch,"monkeypatch is a built-in pytest fixture for safely changing things for the duration of one test — setting an environment variable, swapping out an object's attribute, or replacing a function — and automatically undoing it all once the test ends.",
yield fixture,"A yield fixture is a fixture function that uses `yield` instead of `return`: the code before yield runs as setup, the yielded value is handed to the test, and the code after yield runs as teardown once the test finishes.",
teardown,"Teardown is the cleanup code a fixture runs after a test is done using it — like closing a file or a database connection — and pytest guarantees it runs whether the test passed, failed, or raised an error.",
parametrize,"@pytest.mark.parametrize is a decorator that reruns one test function once for each value (or set of values) you give it, so you can cover many inputs without writing a near-duplicate test for each one.",
parametrized fixture,"A parametrized fixture is a fixture created with `@pytest.fixture(params=[...])` — pytest builds one instance per value in that list and reruns every test that uses the fixture once per instance, instead of just varying one test's own arguments.",
request.param,"Inside a parametrized fixture, request.param holds whichever single value from its params= list is being used for the current run — request itself is a built-in pytest fixture that gives you information about the currently-running test.",
marker,"A marker is a small tag you stick on a test with @pytest.mark.something — like @pytest.mark.skip or a custom name you invent — so pytest (or you, on the command line) can treat that test differently from the rest.",https://docs.pytest.org/en/stable/how-to/mark.html
skip,"@pytest.mark.skip tells pytest to not even run a test, unconditionally — useful for a test that's temporarily broken or not ready yet, without deleting it and losing the work.",
skipif,"@pytest.mark.skipif(condition, reason=""...."") skips a test only when a condition you supply is true — the classic use is skipping a test that only makes sense on one operating system.",
xfail,"@pytest.mark.xfail marks a test as expected to fail, usually because of a known bug — pytest still runs it, but reports it as 'xfailed' instead of failing the build over it.",
XPASS,"XPASS (""unexpectedly passed"") is what pytest reports when a test marked xfail actually passes. It's a nudge to check whether the underlying bug got fixed and the marker can come off.",
strict-markers,--strict-markers is a pytest command-line flag that turns any unregistered marker name into a hard error instead of a silent warning — it's how you catch a typo like @pytest.mark.slwo before it quietly does nothing.,
marker registration,"Registering a marker means declaring its name (and a short description) in your pytest config, usually under a markers = [...] list in pyproject.toml, so pytest recognizes it as intentional rather than a typo.",
pytest.raises,"pytest.raises is a context manager — used as with pytest.raises(ValueError): — that asserts the code inside it raises exactly that exception. If nothing raises, or the wrong exception type raises, the test fails.",https://docs.pytest.org/en/stable/how-to/assert.html#assertions-about-expected-exceptions
match parameter,"The match= keyword on pytest.raises (or pytest.warns) checks the exception's or warning's message against a regex, so you can confirm not just that something failed, but that it failed for the right reason.",
excinfo,"excinfo is the object you get from with pytest.raises(...) as excinfo: — it holds the actual exception that was caught, so you can inspect details like excinfo.value.args after the fact.",
pytest.warns,"pytest.warns is pytest.raises's counterpart for warnings — with pytest.warns(UserWarning): asserts the code inside actually triggers that warning, which is otherwise easy to miss since a warning alone doesn't fail a test.",https://docs.pytest.org/en/stable/how-to/capture-warnings.html
pytest-mock,"pytest-mock is a plugin (installed separately with pip) that adds the mocker fixture, giving you a cleaner interface over Python's built-in unittest.mock for replacing real objects with fakes during a test.",https://pypi.org/project/pytest-mock/
mocker,"mocker is the fixture pytest-mock provides for patching things during a test — most commonly via mocker.patch(""module.func"") — and it automatically undoes every patch it made once the test finishes, no manual cleanup required.",
return_value,"Setting a mock's return_value fixes what it hands back every time it's called, e.g. mocker.patch(""module.func"").return_value = 42 makes every call to that function return 42 instead of running the real code.",
side_effect,"A mock's side_effect controls more complex behavior than a fixed return_value — it can be an exception to raise, or a function to run, letting the fake react differently depending on how it's called.",
assert_called_with,"mock.assert_called_with(...) checks that a mock was actually called, and with exactly the arguments you expect — it's how you verify your code talked to a dependency correctly without hitting the real thing.",
coverage,"Test coverage is the percentage of your code's lines (or branches) that actually ran while your test suite executed — a useful signal for finding untested code, but not proof that what did run was checked correctly.",https://en.wikipedia.org/wiki/Code_coverage
pytest-cov,"pytest-cov is a plugin (installed separately) that adds the --cov option to pytest, turning a normal test run into one that also measures and reports code coverage.",https://pypi.org/project/pytest-cov/
branch coverage,"Branch coverage is a stricter form of coverage tracking (turned on with --cov-branch) that checks both sides of every if/else actually ran, catching cases plain line coverage misses — like an else that never executes.",
pytest-xdist,"A pytest plugin that runs your test suite across several worker processes at once instead of one test after another, so a big suite finishes in a fraction of the wall-clock time on a multi-core machine.",https://pytest-xdist.readthedocs.io/
worker process,"In pytest-xdist, one of the separate OS processes pytest spins up to run a slice of your tests in parallel -- each worker has its own Python interpreter and memory, which is exactly why state one worker holds isn't automatically visible to another.",
test isolation,"The property that one test's setup, data, and side effects can't leak into another test. It's easy to get away with weak isolation when tests run one at a time in a fixed order, but running them in parallel (or in a different order) exposes the gap immediately.",
ini options,"pytest settings written under a config file's [tool.pytest.ini_options] section (in pyproject.toml) or a plain pytest.ini/setup.cfg file, so options like test paths and markers live in one checked-in place instead of being retyped on the command line every time.",https://docs.pytest.org/en/stable/reference/customize.html
addopts,"An ini option that lists command-line flags pytest should apply automatically on every run, such as -v or --strict-markers, without anyone having to remember to type them.",
testpaths,"An ini option that tells pytest which directories to search for tests by default, so running plain `pytest` from anywhere in the project still finds the right files.",
--strict-markers,"A pytest flag that turns an unregistered marker (often just a typo of a real one) into a hard error at collection time, instead of a silently ignored warning.",
src layout,"A project structure where your installable package lives inside a src/ folder (src/mypackage/) with a separate tests/ directory next to it, rather than at the repository root. It forces tests to import the package as it would actually be installed, catching packaging mistakes a flatter layout would hide.",
editable install,"An installation (`pip install -e .`) that links a package's source files directly into your environment instead of copying them, so edits to the code are picked up immediately -- this is what lets pytest import a src-layout package by name without reinstalling after every change.",
-v (verbose),"A pytest flag that prints each test's full name and pass/fail result on its own line, instead of the default terse dot-per-test output -- useful when you need to see exactly which test did what.",
-x (exit on first failure),"A pytest flag that stops the entire run the moment one test fails, rather than continuing through the whole suite -- handy for fixing failures one at a time without wading through a wall of red.",
-k (keyword select),"A pytest flag that runs only the tests whose name matches a given keyword expression (e.g. pytest -k ""login and not slow""), letting you narrow a run without editing any files.",
--pdb,"A pytest flag that drops you into Python's interactive debugger at the exact line a test failed, so you can inspect live variables instead of just reading a traceback.",
anti-pattern,"A coding habit that looks reasonable on the surface but reliably causes problems down the line -- in testing, things like asserting on private internals, over-mocking, or reusing an overly broad fixture everywhere are classic examples this course calls out by name.",
